street,zip,city,name,cemetery_type,

"Friedhofsweg","26389","Wilhelmshaven","Aldenburg","Cemetery burial"
"Dittfeldstr. 141","47179","Duisburg","Aldenrade","Diamond cremation"
"Eversbuschstr. 197","80999","München","Allach","Tree burial"
"Allermöher Deich 99","21037","Hamburg","Allermöhe-Reitbrook","Urn cremation"
"Zum Dermbach","36251","Bad","Allmershausen","Cemetery burial"
"Hochstraße","45768","Marl","Alt Marl","Urn cremation"
"An der Aumunder Kirche 4","28757","Bremen","Alt-Aumund","Diamond cremation"
"Kappler Straße","79117","Freiburg","Alt-Littenweiler","Urn cremation"
"Tunnelstr.5-11","10245","Berlin","Alt-Strahlau","Cemetery burial"
"Königstr. 92","47178","Duisburg","Alt-Walsum","Urn cremation"
"Kirchenstegel 11","21039","Hamburg","Altengamme","Tree burial"
"Robert-Nacke-Straße 75","33729","Bielefeld","Altenhagen","Cemetery burial"
"Chemnitzer Str. 32","01187","Dresden","Alter Annenfriedhof","Tree burial"
"Bornheimer Straße","53111","Bonn","Alter Friedhof","Urn cremation"
"Herdweg 105","64285","Darmstadt","Alter Friedhof","Cemetery burial"
"Schwabacher Str. 12","90537","Feucht","Alter Friedhof","Urn cremation"
"Schulstraße","49479","Ibbenbüren","Alter Friedhof","Cemetery burial"
"Blomberger Straße","32756","Detmold","Alter Friedhof","Cemetery burial"
"Amberger Straße","91217","Hersbruck","Alter Friedhof","Cemetery burial"
"Friedhofstraße 21","63065","Offenbach","Alter Friedhof","Cemetery burial"
"Langelohweg","32758","Detmold","Alter Friedhof Heidenoldendorf","Cemetery burial"
"Ritterstraße","56076","Koblenz","Alter Friedhof Pfaffendorf","Tree burial"
"Stoddart-/ Wielandstr.","32758","Detmold","Alter Friedhof Pivitsheide VH","Tree burial"
"Oerlinghauser Straße","32758","Detmold","Alter Friedhof Pivitsheide VL","Urn cremation"
"Friedrichstraße 54","32427","Minden","Alter Friedhof/ Botanische Garten","Urn cremation"
"Prager Straße","04103","Leipzig","Alter Johannisfriedhof","Tree burial"
"Friedrichstraße 54","01067","Dresden","Alter katholischer Friedhof","Tree burial"
"Südstern 8-12","10961","Berlin","Alter Luisenstadt Friedhof","Tree burial"
"Arcisstr.45","80799","München","Alter Nordfriedhof","Cemetery burial"
"Kurt-Schumacher-Straße 57","86165","Augsburg","Alter Ostfriedhof","Cemetery burial"
"Halberstädter Straße 132","39112","Magdeburg","Alter Sudenburger Friedhof","Urn cremation"
"Thalkirchnerstr.17","80337","München","Alter Südfriedhof","Cemetery burial"
